claim,source,word_count,has_numbers,has_exclamation,has_question,credibility_keyword_count,misinfo_keyword_count,label,label_text
"According to doctors, Regular foot care is important for people with diabetes to prevent complications.",Lancet,15,0,0,0,1,0,0,credible
Studies show that Folate is essential during pregnancy to prevent neural tube defects.,BMJ,13,0,0,0,0,0,0,credible
Scientists suppressed this: Drinking bleach in small amounts detoxifies your body.,WhatsApp message,11,0,0,0,0,2,1,misinformation
Studies show that Quitting smoking significantly reduces cardiovascular disease risk within months.,CDC,12,0,0,0,0,0,0,credible
Exercise improves mood by releasing endorphins.,PubMed,6,0,0,0,0,0,0,credible
BREAKING: Drinking your own urine heals digestive diseases and boosts immunity.,WhatsApp message,11,0,0,0,0,0,1,misinformation
Health experts state that HPV vaccines reduce the risk of cervical cancer when given before exposure.,WHO,16,0,0,0,1,0,0,credible
Metformin is commonly prescribed as a first-line medication for type 2 diabetes.,Mayo Clinic,12,1,0,0,0,0,0,credible
Share before deleted: Running causes arthritis and damages your knee joints over time.,Email chain,13,0,0,0,0,0,1,misinformation
Medical evidence indicates that A Mediterranean diet is associated with reduced risk of heart disease.,Lancet,15,0,0,0,1,0,0,credible
BREAKING: Wearing a face mask causes dangerous oxygen deprivation.,YouTube video,9,0,0,0,0,0,1,misinformation
"Secret cure: Vaccines cause autism in children, as proven by multiple studies.",Anonymous forum,12,0,0,0,1,2,1,misinformation
Scientists suppressed this: Magnet therapy can reverse heart disease effectively.,Twitter post,10,0,0,0,0,1,1,misinformation
Share before deleted: Big pharma hides vaccine injury data to keep profits high.,Telegram channel,13,0,0,0,0,0,1,misinformation
Antibiotics can cure the common cold and flu effectively.,Facebook post,9,0,0,0,0,1,1,misinformation
Secret cure: Type 2 diabetes is only caused by consuming too much refined sugar.,Twitter post,14,1,0,0,0,2,1,misinformation
Sweating during exercise means your body is releasing toxins.,Telegram channel,9,0,0,0,0,0,1,misinformation
Clinical trials show that Reducing saturated fat intake can lower LDL cholesterol levels.,WebMD,13,0,0,0,2,0,0,credible
Studies show that Colorectal cancer screening via colonoscopy is recommended starting at age 45.,WebMD,14,1,0,0,0,0,0,credible
Quitting smoking significantly reduces cardiovascular disease risk within months.,Mayo Clinic,9,0,0,0,0,0,0,credible
Plant-based diets have been associated with lower rates of heart disease.,BMJ,11,0,0,0,0,0,0,credible
Fiber from whole grains and vegetables supports digestive health.,Mayo Clinic,9,0,0,0,0,0,0,credible
Sedentary behavior is linked to increased risk of obesity and metabolic syndrome.,CDC,12,0,0,0,0,0,0,credible
"Research confirms that Antibiotics are only effective against bacterial infections, not viral ones.",NEJM,13,0,0,0,1,0,0,credible
Suicide prevention involves recognizing warning signs and providing support.,WHO,9,0,0,0,0,0,0,credible
Smoking is the leading preventable cause of lung cancer.,Mayo Clinic,9,0,0,0,0,0,0,credible
"According to doctors, Stress management techniques like mindfulness can reduce anxiety symptoms.",NIH,12,0,0,0,1,0,0,credible
Studies show that Cognitive behavioral therapy is an evidence-based treatment for anxiety disorders.,NHS,13,0,0,0,1,0,0,credible
Health experts state that Sexually transmitted infections can be prevented using barrier methods.,Lancet,13,0,0,0,1,0,0,credible
Research confirms that Potassium-rich foods like bananas help regulate blood pressure.,Mayo Clinic,11,0,0,0,1,0,0,credible
Share before deleted: Vaccines have never been proven to be safe by any scientific study.,Instagram reel,15,0,0,0,2,0,1,misinformation
Scientists suppressed this: Activated charcoal removes all toxins from your blood.,Facebook post,11,0,0,0,0,1,1,misinformation
Medical evidence indicates that Radiation therapy uses high-energy beams to destroy cancer cells.,NHS,13,0,0,0,1,0,0,credible
Doctors don't want you to know that Coconut oil is a heart-healthy food that clears clogged arteries.,Telegram channel,17,0,0,0,1,0,1,misinformation
The COVID-19 vaccine contains microchips to track people.,YouTube video,8,1,0,0,0,0,1,misinformation
Research confirms that Antioxidants found in berries may help reduce oxidative stress.,Lancet,12,0,0,0,1,0,0,credible
Health experts state that Stress management techniques like mindfulness can reduce anxiety symptoms.,WebMD,13,0,0,0,1,0,0,credible
Share before deleted: The MMR vaccine was recalled due to widespread harmful side effects.,Twitter post,14,0,0,0,0,0,1,misinformation
Shocking truth: Sleeping with your head pointing north causes brain damage.,Facebook post,11,0,0,0,0,2,1,misinformation
Research confirms that Annual flu vaccination is recommended for people over 65 and those with chronic conditions.,WHO,17,1,0,0,1,0,0,credible
Studies show that Alcohol consumption above recommended limits increases health risks.,PubMed,11,0,0,0,0,0,0,credible
Share before deleted: The polio vaccine caused cancer in millions of people in secret.,YouTube video,14,0,0,0,0,1,1,misinformation
Blood sugar monitoring is essential for managing diabetes.,Mayo Clinic,8,0,0,0,0,0,0,credible
Doctors don't want you to know that Doctors hide cancer cures to keep pharmaceutical profits high.,Telegram channel,16,0,0,0,1,1,1,misinformation
